| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.84           |
| 7-11 years  | 1.46           |
| 12-17 years | 1.04           |
| 18-24 years | 0.86           |
| 25-34 years | 0.82           |
| 35-44 years | 0.89           |
| 45-54 years | 1.81           |
| 55-64 years | 1.74           |
| 65-74 years | 1.76           |
