Age,"Sample size"
"2 years",500
"3 years",478
"4 years",537
"5 years",488
"6 years",277
"7 years",266
"8 years",257
"9 years",271
"10 years",289
"11 years",275
"12 years",199
"13 years",181
"14 years",178
"15 years",178
"16 years",186
"17 years",185
"18 years",164
"19 years",159
"20 years and older",7258
"20–29 years",1538
"30–39 years",1385
"40–49 years",1144
"50–59 years",794
"60–69 years",1087
"70–79 years",770
"80 years and older",540
