Age,"Sample size"
"2 years",492
"3 years",553
"4 years",526
"5 years",552
"6 years",273
"7 years",266
"8 years",242
"9 years",270
"10 years",254
"11 years",267
"12 years",227
"13 years",215
"14 years",210
"15 years",184
"16 years",197
"17 years",183
"18 years",163
"19 years",163
"20 years and older",7602
"20–29 years",1552
"30–39 years",1580
"40–49 years",1205
"50–59 years",890
"60–69 years",1005
"70–79 years",816
"80 years and older",554
