| Age   | Sample size |
| ----- | ----------- |
| 2     | 492         |
| 3     | 553         |
| 4     | 526         |
| 5     | 552         |
| 6     | 273         |
| 7     | 266         |
| 8     | 242         |
| 9     | 270         |
| 10    | 254         |
| 11    | 267         |
| 12    | 227         |
| 13    | 215         |
| 14    | 210         |
| 15    | 184         |
| 16    | 197         |
| 17    | 183         |
| 18    | 163         |
| 19    | 163         |
| 20+   | 7602        |
| 20–29 | 1552        |
| 30–39 | 1580        |
| 40–49 | 1205        |
| 50–59 | 890         |
| 60–69 | 1005        |
| 70–79 | 816         |
| 80+   | 554         |
