"Cause of death (males, 35–44 years)",Number
"All causes",53436
"Accidents (unintentional injuries)",17476
"Diseases of heart",7190
"Intentional self-harm (suicide)",5815
"Malignant neoplasms",4521
"Assault (homicide)",2758
"Chronic liver disease and cirrhosis",2160
"Diabetes mellitus",1395
"Cerebrovascular diseases",959
"Influenza and pneumonia",524
"Human immunodeficiency virus (HIV) disease",461
"All other causes",10177
