Age,"Standard error"
"All ages",0.2
"2–11 months",0.2
"1–2 years",0.3
"3–5 years",0.5
"6–11 years",0.4
"12–15 years",1.2
"16–19 years",0.9
"20–29 years",0.5
"30–39 years",0.6
"40–49 years",0.6
"50–59 years",0.6
"60–69 years",0.6
"70–79 years",0.5
"80 years and over",0.5
