Age,"Standard error"
"All ages",0.4
"2–11 months",0.3
"1–2 years",0.4
"3–5 years",0.6
"6–11 years",0.7
"12–15 years",1.2
"16–19 years",1
"20–29 years",0.9
"30–39 years",1
"40–49 years",0.8
"50–59 years",1
"60–69 years",0.6
"70–79 years",0.7
"80 years and over",0.9
