Age,Mean
"8–11 years",5.1
"12–15 years",8.1
"16–19 years",10.1
"20–39 years",13.2
"40–59 years",15.5
"60–79 years",15.7
"80 years and older",12.5
"20 years and older (crude)",14.6
"20 years and older (age adjusted)",14.5
