Age,Median
"All ages",746
"2–11 months",651
"1–2 years",796
"3–5 years",805
"6–11 years",907
"12–15 years",854
"16–19 years",873
"20–29 years",788
"30–39 years",746
"40–49 years",689
"50–59 years",648
"60–69 years",660
"70–79 years",602
"80 years and over",596
