| Age       | 3rd   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th  | 97th  |
| --------- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 2.0-2.4   | 82.5  | 83.6  | 85    | 86.7  | 88.9  | 91.2  | 93.8  | 95.5  | 97.4  |
| 2.5-2.9   | 85.8  | 86.6  | 88.5  | 90.4  | 92.7  | 95.2  | 97.2  | 98.4  | 100   |
| 3.0-3.4   | 89.2  | 90.5  | 92    | 94.2  | 96.7  | 99.6  | 101.8 | 103.3 | 104.8 |
| 3.5-3.9   | 92.9  | 94.2  | 95.4  | 97.5  | 100.6 | 103   | 105.3 | 107.2 | 107.8 |
| 4.0-4.4   | 96    | 96.9  | 98.8  | 101.3 | 104.2 | 106.8 | 109.2 | 111.8 | 112.6 |
| 4.5-4.9   | 98.2  | 99.5  | 100.8 | 104   | 107   | 110.3 | 113.3 | 115   | 115.8 |
| 5.0-5.4   | 102   | 103.1 | 105   | 107.6 | 111.1 | 114   | 117.1 | 118.8 | 120.5 |
| 5.5-5.9   | 104.5 | 106.3 | 108   | 110.4 | 114   | 117.4 | 120.2 | 122   | 122.2 |
| 6.0-6.4   | 107.8 | 108.5 | 110   | 113.3 | 117.2 | 121   | 123.7 | 126.1 | 127.3 |
| 6.5-6.9   | 109.1 | 110.9 | 113.2 | 116.5 | 119.9 | 124   | 127.5 | 129.1 | 129.5 |
| 7.0-7.4   | 113.1 | 114.4 | 116.8 | 119.9 | 123.1 | 126.7 | 131   | 132.8 | 134.7 |
| 7.5-7.9   | 115.6 | 117.3 | 120.2 | 123.2 | 126.8 | 130.2 | 133.9 | 136.3 | 138   |
| 8.0-8.4   | 118.2 | 119.5 | 121.8 | 124.9 | 128.7 | 132.6 | 135.7 | 137.2 | 138.6 |
| 8.5-8.9   | 122.1 | 123.2 | 124.6 | 127   | 131.6 | 135.2 | 139.7 | 142.1 | 142.9 |
| 9.0-9.4   | 121.8 | 124.1 | 126.9 | 130.7 | 135   | 138.4 | 142   | 145.8 | 147   |
| 9.5-9.9   | 125.2 | 127.1 | 129.4 | 132.6 | 136.8 | 141   | 145.2 | 148   | 149.1 |
| 10.0-10.4 | 126.3 | 127.9 | 130.6 | 135.6 | 140.1 | 144.5 | 147.8 | 151.9 | 152.7 |
| 10.5-10.9 | 130.5 | 132.3 | 133.8 | 137.5 | 142.3 | 147   | 150.3 | 153.3 | 154.4 |
| 11.0-11.4 | 132   | 133.7 | 135.8 | 140.2 | 144.5 | 149.4 | 153   | 155.2 | 156.7 |
| 11.5-11.9 | 135.9 | 137.2 | 139.5 | 143.8 | 147.2 | 152.3 | 157.2 | 160   | 161.6 |
| 12.0-12.4 | 137.8 | 138.5 | 141.4 | 146.3 | 150.9 | 156.8 | 163.1 | 166.2 | 168.3 |
| 12.5-12.9 | 140.2 | 142   | 144.6 | 150   | 154.3 | 160   | 164.5 | 167.4 | 169.5 |
| 13.0-13.4 | 143.4 | 145.2 | 148.3 | 152.6 | 157.8 | 163.9 | 170.8 | 173.1 | 174.3 |
| 13.5-13.9 | 143.3 | 145.1 | 148.9 | 154.1 | 161.9 | 167.7 | 172.4 | 175.6 | 176   |
| 14.0-14.4 | 148.6 | 151.5 | 156   | 160.8 | 166   | 172   | 177.3 | 179.4 | 180.5 |
| 14.5-14.9 | 152   | 154.6 | 158.4 | 163.5 | 168.6 | 174.1 | 178.4 | 179.9 | 181.4 |
| 15.0-15.4 | 156   | 158.1 | 161   | 165.3 | 170.8 | 175.6 | 180.9 | 183.8 | 185.7 |
| 15.5-15.9 | 158.4 | 159   | 162.7 | 167.3 | 173.1 | 177.5 | 182.5 | 184.4 | 185.7 |
| 16.0-16.4 | 160.4 | 161.9 | 164.2 | 169.5 | 173.3 | 177.7 | 181.2 | 184.8 | 186.7 |
| 16.5-16.9 | 162.5 | 163.6 | 165.5 | 170.3 | 175.7 | 181.1 | 185.8 | 187.7 | 190.2 |
| 17.0-17.4 | 160.8 | 162.7 | 166.5 | 170.9 | 176.1 | 181.3 | 186.3 | 188.2 | 188.5 |
| 17.5-17.9 | 162.2 | 163.8 | 167.9 | 171.9 | 175.7 | 180.9 | 185.2 | 187.4 | 188.2 |
| 18.0-18.4 | 166.3 | 168   | 169.3 | 173.2 | 176.4 | 181.9 | 187.8 | 190.4 | 192.6 |
| 18.5-18.9 | 165.8 | 166.4 | 167.2 | 171.6 | 176.6 | 180.6 | 185.4 | 188   | 191.3 |
| 19.0-19.4 | 163.7 | 164.7 | 167.9 | 171.3 | 176.5 | 180.8 | 183.2 | 185.4 | 187   |
| 19.5-19.9 | 162   | 164.3 | 169.5 | 171.8 | 176.7 | 180   | 184.2 | 186.3 | 188.4 |
