| Age     | Mean  |
| ------- | ----- |
| 0       | 3.29  |
| 2m      | 5.44  |
| 3m      | 6.34  |
| 4m      | 6.74  |
| 6m      | 7.28  |
| 6m      | 7.66  |
| 7m      | 8.04  |
| 8m      | 8.3   |
| 9m      | 8.85  |
| 10m     | 9.03  |
| 11m     | 9.26  |
| 12m-14m | 9.79  |
| 15m-17m | 10.42 |
| 18m-20m | 11.11 |
| 21m-23m | 11.81 |
| 24m-29m | 12.48 |
| 30m-35m | 13.61 |
