Age,Mean
Birth,3.41
"2 months",6.47
"3 months",6.96
"4 months",7.15
"5 months",7.93
"6 months",8.41
"7 months",8.64
"8 months",9.26
"9 months",9.33
"10 months",9.46
"11 months",9.98
"12–14 months",10.59
"15–17 months",11.39
"18–20 months",12.07
"21–23 months",12.43
"24–29 months",13.14
"30–35 months",13.96
