Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",19921,71,0.2,52,64,71,78,90
"18–39 years",7676,69,0.2,52,61,68,75,86
"40–59 years",5826,75,0.2,59,69,75,81,92
"60 years and over",6419,68,0.3,47,60,69,76,89
