Age,"Standard error"
"All ages",0.3
"2–11 months",0.4
"1–2 years",0.5
"3–5 years",0.4
"6–11 years",0.7
"12–15 years",1.4
"16–19 years",1.4
"20–29 years",1
"30–39 years",0.9
"40–49 years",0.6
"50–59 years",0.8
"60–69 years",0.5
"70–79 years",0.6
"80 years and over",0.4
