Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",1230,145,0.4,125,139,144,152,172
"18–39 years",243,140,0.7,124,134,141,144,152
"40–59 years",407,145,0.9,124,137,143,151,171
"60 years and over",580,154,0.7,140,145,151,160,181
