Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",4603,75,0.4,50,63,72,81,93
"18–39 years",198,77,0.9,59,69,76,85,99
"40–59 years",1239,77,0.4,58,70,77,84,95
"60 years and over",3166,68,0.3,46,59,68,76,89
