| Sys:Dia | 0-60 | 60-69 | 70-79 | 80-89 | 90-99 | 100-109 | 110-119 | 120-129 | 130+ |
| ------- | ---- | ----- | ----- | ----- | ----- | ------- | ------- | ------- | ---- |
| 0-100   | 0.2  | 0.2   | 0.1   |       |       |         |         |         |      |
| 100-109 | 0.1  | 1.1   | 0.8   | 0.4   | 0     |         |         |         |      |
| 110-119 | 0.1  | 1.2   | 3.9   | 1.5   | 0     |         |         |         |      |
| 120-129 | 0.1  | 1.8   | 5.1   | 4.1   | 1.5   | 0       |         |         |      |
| 130-139 | 0.1  | 0.7   | 5.5   | 7.7   | 2.3   | 0.2     | 0.1     |         |      |
| 140-149 | 0.4  | 0.7   | 3.3   | 6.1   | 4.7   | 1       | 0.2     | 0.1     |      |
| 150-159 | 0    | 0.5   | 1.8   | 4.6   | 6.2   | 2.2     | 0.1     | 0       |      |
| 160-169 |      | 0.2   | 0.6   | 3.1   | 3.6   | 2.5     | 0.4     |         |      |
| 170-179 |      | 0.1   | 0.2   | 2.3   | 2.6   | 1.9     | 0.4     | 0.3     |      |
| 180-189 | 0.1  |       | 0.3   | 0.9   | 1.2   | 1.8     | 0.6     | 0.1     |      |
| 190-199 | 0    |       | 0.1   | 0.3   | 0.8   | 0.4     | 0.2     | 0.5     | 0.1  |
| 200-209 |      |       |       | 0.2   | 0.4   | 0.4     | 0.4     | 0.1     | 0    |
| 210-219 |      |       |       |       | 0.2   | 0.3     | 0.3     | 0.2     | 0.1  |
| 220-229 |      |       |       | 0.1   |       | 0.1     | 0.1     | 0.2     | 0    |
| 230-239 |      |       |       |       | 0     | 0.1     | 0       | 0.1     | 0    |
| 240+    |      |       |       |       |       | 0.3     | 0.1     |         | 0    |
