| Sys:Dia | 0-60 | 60-69 | 70-79 | 80-89 | 90-99 | 100-109 | 110-119 | 120-129 | 130+ |
| ------- | ---- | ----- | ----- | ----- | ----- | ------- | ------- | ------- | ---- |
| 0-100   | 0.1  | 0.1   |       |       |       |         |         |         |      |
| 100-109 | 0.2  | 0.4   | 0.4   | 0.3   |       |         |         |         |      |
| 110-119 | 0.1  | 0.9   | 1.9   | 0.6   | 0.2   |         |         |         |      |
| 120-129 | 0.1  | 1.3   | 3.8   | 3.7   | 0.8   |         |         |         |      |
| 130-139 |      | 0.9   | 4.7   | 5.9   | 1.6   | 0.3     |         |         |      |
| 140-149 | 0    | 1.1   | 5.1   | 8.3   | 3.6   | 0.5     | 0.1     |         |      |
| 150-159 |      | 0.3   | 2.6   | 5.9   | 4.8   | 1.4     | 0.6     |         |      |
| 160-169 |      | 0.2   | 1     | 4.7   | 4.6   | 2.4     | 0.4     | 0.1     |      |
| 170-179 |      | 0.2   | 0.8   | 2.5   | 2.5   | 1       | 0.6     | 0.1     | 0    |
| 180-189 |      | 0.1   | 0.4   | 1.7   | 1.8   | 2.5     | 0.6     | 0.1     | 0.1  |
| 190-199 |      |       | 0.3   | 0.7   | 1.6   | 0.5     | 0.7     | 0.4     |      |
| 200-209 |      | 0.1   | 0.1   | 0.1   | 0.2   | 1       | 0.3     | 0.1     | 0.1  |
| 210-219 |      |       |       | 0.1   | 0.2   | 0.3     | 0.4     | 0       | 0.1  |
| 220-229 |      |       |       | 0     | 0.1   | 0.2     | 0       |         | 0.2  |
| 230-239 |      |       |       | 0.1   | 0     | 0.1     | 0.2     | 0.1     | 0.1  |
| 240+    |      |       |       |       |       | 0.2     | 0.1     | 0.2     | 0.1  |
