Age,3rd,5th,10th,25th,50th,75th,90th,95th,97th
Birth,2.24,2.41,2.64,2.98,3.29,3.63,3.92,4.11,4.25
"2 months",4.6,4.6,4.75,5,5.55,5.85,6,6.2,6.35
"3 months",5.15,5.4,5.55,5.8,6.3,6.8,7.35,7.75,7.75
"4 months",5.25,5.3,5.8,6.05,6.6,7.4,8,8.3,8.45
"5 months",5.9,6.1,6.3,6.7,7.1,7.7,8.45,8.75,9.05
"6 months",6.5,6.58,6.58,7.1,7.55,8.1,8.9,8.96,9
"7 months",6.24,6.35,6.7,7.37,7.82,8.62,9.35,9.8,9.95
"8 months",6.46,6.75,7.25,7.8,8.28,8.85,9.35,9.75,10.1
"9 months",7.25,7.4,7.75,8.1,8.73,9.41,10.1,10.45,11
"10 months",7.3,7.37,7.75,8.39,9,9.5,10.43,10.89,11.5
"11 months",7.48,7.48,7.9,8.62,9.15,10.05,10.55,10.85,11.1
"12–14 months",8.05,8.28,8.5,9.07,9.8,10.43,11.3,11.57,11.68
"15–17 months",8.65,8.8,9.1,9.65,10.32,11.23,11.8,12.02,12.6
"18–20 months",8.85,9.15,9.64,10.15,10.95,11.91,12.81,13.5,13.95
"21–23 months",9.45,9.75,10.09,10.89,11.79,12.75,13.49,13.9,14.17
"24–29 months",9.95,10.25,10.77,11.45,12.36,13.3,14.51,15.08,15.42
"30–35 months",11,11.23,11.79,12.47,13.42,14.52,15.65,16.44,17.1
