Age,"Assault (homicide)"
"All ages",1.3
"Under 1 year",*
"1-4 years",*
"5-9 years",0.2
"10-14 years",0.3
"15-19 years",1.7
"20-24 years",2.7
"25-29 years",2.4
"30-34 years",2.1
"35-39 years",2
"40-44 years",1.7
"45-49 years",1.4
"50-54 years",1
"55-59 years",0.9
"60-64 years",0.7
"65-69 years",0.8
"70-74 years",0.7
"75-79 years",0.7
"80-84 years",*
"85 years and over",*
"Age-adjusted rate",1.3
