| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 17.6 | 19.3 | 20.2 | 22.2 | 28.4 | 36.8 | 41.6 | 45   | 48.4 |
| 12–15 | 14.2 | 15.1 | 15.9 | 17.6 | 22.9 | 32   | 36   | 39.5 | 43.9 |
| 16–19 | 13   | 13.9 | 14.4 | 15.5 | 19.2 | 26.2 | 29.6 | 32.3 | 37.1 |
| 20–39 | 14.1 | 15.6 | 16.8 | 19   | 23.2 | 27.7 | 30.5 | 32.5 | 35.8 |
| 40–59 | 17.4 | 19.2 | 20.5 | 22.4 | 26   | 30   | 32.2 | 33.9 | 37   |
| 60–79 | 20.7 | 22.2 | 23.6 | 25.5 | 29.2 | 33.7 | 36.4 | 37.8 | 40.7 |
| 80+   | 20.8 | 23.4 | 24.4 | 26.9 | 30.4 | 34.7 | 37.1 | 38.5 | 40.8 |
| 20+   | 15.5 | 17.5 | 19.2 | 21.5 | 25.6 | 30.1 | 32.7 | 34.9 | 37.9 |
