| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 0.7  |
| 12–15              | 0.9  |
| 16–19              | 1    |
| 20–39              | 1.3  |
| 40–59              | 1.4  |
| 60–79              | 1.5  |
| 80+                | 1.3  |
| 20+                | 1.4  |
| 20+ (age adjusted) | 1.4  |
