Age,Mean
"8–11 years",0.8
"12–15 years",1.1
"16–19 years",1.3
"20–39 years",1.7
"40–59 years",1.9
"60–79 years",1.9
"80 years and older",1.6
"20 years and older (crude)",1.8
"20 years and older (age adjusted)",1.8
