"Cause of death (males, 65–74 years)","Death rate (per 100000)"
"All causes",2178.6
"Malignant neoplasms",643.7
"Diseases of heart",537.2
"Chronic lower respiratory diseases",137.7
"Diabetes mellitus",94.4
"Cerebrovascular diseases",88.3
"Accidents (unintentional injuries)",77.4
"Chronic liver disease and cirrhosis",45.2
"Nephritis, nephrotic syndrome and nephrosis",41
"Influenza and pneumonia",32.4
Septicemia,30.9
"All other causes",450.4
