Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,3.6,0.04,3,5767,3.4,0.09,2.7,8001,3.7,0.04,3.2
"Under 6 years",3461,2.4,0.06,2,1581,2.5,0.1,2,1580,2.5,0.08,2.1
"6–11 years",1553,3.3,0.13,2.6,733,3.7,0.28,2.8,693,3.1,0.1,2.6
"12–19 years",1659,3.4,0.12,2.6,711,3.5,0.22,2.5,796,3.3,0.14,2.7
"20–59 years",5921,3.8,0.05,3.2,1939,3.6,0.11,2.8,3484,3.9,0.06,3.3
"60 years and over",2588,4.1,0.07,3.6,803,3.5,0.14,3,1448,4.2,0.08,3.7
