Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,4.7,0.05,3.8,4929,4.4,0.14,3.2,7770,4.7,0.06,3.9
"Under 6 years",3410,2.6,0.06,2.3,1564,2.7,0.09,2.2,1548,2.7,0.07,2.4
"6–11 years",1581,3.6,0.13,3,713,3.8,0.18,3.2,746,3.5,0.17,3
"12–19 years",1462,4.1,0.11,3.3,634,3.9,0.18,3,674,4.1,0.13,3.4
"20–59 years",5019,5.2,0.06,4.3,1390,5.5,0.29,4.2,3226,5.2,0.06,4.5
"60 years and over",2451,5,0.1,4.2,628,4.3,0.2,3.3,1576,5.1,0.12,4.3
