Age,"Sample size"
"2 years",564
"3 years",590
"4 years",535
"5 years",557
"6 years",274
"7 years",275
"8 years",247
"9 years",282
"10 years",262
"11 years",275
"12 years",239
"13 years",225
"14 years",226
"15 years",201
"16 years",221
"17 years",217
"18 years",193
"19 years",194
"20 years and older",9067
"20–29 years",1867
"30–39 years",1863
"40–49 years",1371
"50–59 years",1009
"60–69 years",1177
"70–79 years",988
"80 years and older",792
