Age,"Standard deviation"
"7-74 years",22.7
"7-11 years",13.1
"12-17 years",12.8
"18-24 years",13.3
"25-34 years",13.8
"35-44 years",19.4
"45-54 years",22.2
"55-64 years",24.4
"65-74 years",23.6
