| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 19.9               |
| 7-11 years  | 11.8               |
| 12-17 years | 14.2               |
| 18-24 years | 12.9               |
| 25-34 years | 13.2               |
| 35-44 years | 16.5               |
| 45-54 years | 19.8               |
| 55-64 years | 19.4               |
| 65-74 years | 24.1               |
