Age,"Standard deviation"
"7-74 years",21.4
"7-11 years",12.5
"12-17 years",13.6
"18-24 years",13.7
"25-34 years",13.9
"35-44 years",18.3
"45-54 years",21.3
"55-64 years",22.4
"65-74 years",24
