Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",1230,85,0.6,61,76,87,93,101
"18–39 years",243,87,1.2,59,80,90,95,103
"40–59 years",407,88,0.8,69,82,90,94,102
"60 years and over",580,76,0.6,54,68,75,84,94
