Age,"Standard error of the mean"
"7-74 years",0.5
"7-11 years",0.95
"12-17 years",0.86
"18-24 years",0.7
"25-34 years",0.85
"35-44 years",0.81
"45-54 years",1.71
"55-64 years",1.82
"65-74 years",1.63
