Age,"Standard error of the mean"
"7-74 years",0.54
"7-11 years",1.45
"12-17 years",1.22
"18-24 years",0.92
"25-34 years",1.3
"35-44 years",1.22
"45-54 years",1.25
"55-64 years",1.78
"65-74 years",1
