Age,"Standard error"
"7-74 years",0.37
"7-11 years",0.97
"12-17 years",0.63
"18-24 years",0.64
"25-34 years",0.74
"35-44 years",0.53
"45-54 years",1.18
"55-64 years",1.44
"65-74 years",1.18
