Age,Widowed
"15 years and over",6156.3
"15–24 years",*
"25–34 years",282.2
"35–44 years",408.9
"45–54 years",724.6
"55–64 years",1420.8
"65–74 years",2831.3
"75 years and older",9835.1
"Age-adjusted rate",1711.8
