| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 24                 |
| 7-11 years  | 11.7               |
| 12-17 years | 14.6               |
| 18-24 years | 13.8               |
| 25-34 years | 12.7               |
| 35-44 years | 16.2               |
| 45-54 years | 24.3               |
| 55-64 years | 25.1               |
| 65-74 years | 26                 |
