| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 28.4               |
| 7-11 years  | 11.6               |
| 12-17 years | 13.7               |
| 18-24 years | 13.7               |
| 25-34 years | 16.3               |
| 35-44 years | 22.2               |
| 45-54 years | 31.4               |
| 55-64 years | 27.1               |
| 65-74 years | 25                 |
