Age,"Standard deviation"
"7-74 years",26.7
"7-11 years",11.7
"12-17 years",14.2
"18-24 years",14.5
"25-34 years",15.4
"35-44 years",19.7
"45-54 years",29
"55-64 years",26.5
"65-74 years",25.5
