"Expected source(s) of payment","Number of visits in thousands"
"Private insurance",35453
Medicare,15673
"Medicare and Medicaid",2694
"Medicaid or SCHIP",29469
"No insurance",8303
Self-pay,5563
"No charge or charity","*2,844"
"Worker’s compensation",910
Other,4568
"Unknown or blank",3905
