Age,"Standard deviation"
"7-74 years",25.2
"7-11 years",12.3
"12-17 years",13.9
"18-24 years",13.2
"25-34 years",14.4
"35-44 years",20.3
"45-54 years",29.2
"55-64 years",23
"65-74 years",26.6
