| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 23.3               |
| 7-11 years  | 12                 |
| 12-17 years | 14.4               |
| 18-24 years | 14.1               |
| 25-34 years | 14.8               |
| 35-44 years | 19                 |
| 45-54 years | 26                 |
| 55-64 years | 21.5               |
| 65-74 years | 26.6               |
