| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 20.9               |
| 7-11 years  | 11.8               |
| 12-17 years | 14.7               |
| 18-24 years | 13.8               |
| 25-34 years | 13.4               |
| 35-44 years | 17.1               |
| 45-54 years | 21.3               |
| 55-64 years | 18.9               |
| 65-74 years | 26.3               |
