"Cause of death (female, 65–74 years)",Number,"Percent of total deaths","Death rate"
"All causes",235312,100,1402
"Malignant neoplasms",76440,32.5,455.4
"Diseases of heart",43451,18.5,258.9
"Chronic lower respiratory diseases",18995,8.1,113.2
"Cerebrovascular diseases",11074,4.7,66
"Diabetes mellitus",9193,3.9,54.8
"Accidents (unintentional injuries)",5784,2.5,34.5
"Nephritis, nephrotic syndrome and nephrosis",4917,2.1,29.3
"Alzheimer disease",4660,2,27.8
Septicemia,4270,1.8,25.4
"Influenza and pneumonia",3835,1.6,22.8
"All other causes",52693,22.4,314
