| live-birth order   | birth rate |
| ------------------ | ---------- |
| All                | 98.3       |
| 1st child          | 30         |
| 2nd child          | 33.7       |
| 3rd child          | 19.3       |
| 4th child          | 8.9        |
| 5th child          | 3.6        |
| 6th and 7th child  | 2.3        |
| 8th child and over | 0.5        |
