Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15181,1676,57.4,886,5767,1791,199,788,8001,1611,42,924
"Under 6 years",3461,974,42.9,628,1581,1058,101.5,617,1580,944,40.7,639
"6–11 years",1553,1256,88.2,758,733,1234,102,743,693,1239,111.2,769
"12–19 years",1658,1156,56.4,711,711,1388,113.5,800,796,1018,51.3,700
"20–59 years",5921,1840,90.5,977,1939,2181,407.5,840,3484,1739,60.4,1002
"60 years and over",2588,2010,81.4,1051,803,2013,181.1,877,1448,1955,83.7,1142
