| Age               | Median |
| ----------------- | ------ |
| All ages          | 117    |
| 2–11 months       | 27     |
| 1–2 years         | 65     |
| 3–5 years         | 88     |
| 6–11 years        | 109    |
| 12–15 years       | 122    |
| 16–19 years       | 144    |
| 20–29 years       | 142    |
| 30–39 years       | 131    |
| 40–49 years       | 126    |
| 50–59 years       | 115    |
| 60–69 years       | 106    |
| 70–79 years       | 99     |
| 80 years and over | 91     |
