| Age               | Median |
| ----------------- | ------ |
| All ages          | 99     |
| 2–11 months       | 26     |
| 1–2 years         | 61     |
| 3–5 years         | 82     |
| 6–11 years        | 99     |
| 12–15 years       | 108    |
| 16–19 years       | 117    |
| 20–29 years       | 114    |
| 30–39 years       | 108    |
| 40–49 years       | 105    |
| 50–59 years       | 95     |
| 60–69 years       | 88     |
| 70–79 years       | 84     |
| 80 years and over | 79     |
