Age,All,"Never maried","Ever maried",Married,Widowed,Divorced,"Not stated"
"15 years and over",2362568,237568,2115622,944220,917934,253468,9378
"15–24 years",31307,28407,2808,2376,75,357,92
"25–34 years",40451,22341,17832,13193,327,4312,278
"35–44 years",89798,30487,58494,37587,1653,19254,817
"45–54 years",160341,29650,129218,80349,6476,42393,1473
"55–64 years",240846,23303,215833,137179,25380,53274,1710
"65–74 years",441209,28954,410304,243485,107228,59591,1951
"75 years and older",1358616,74426,1281133,430051,776795,74287,3057
