Age,"Standard deviation"
Birth,2.8
"0–1 month",2.28
"1 month",2.32
"2 months",2.29
"3 months",2.74
"4 months",2.68
"5 months",2.01
"6 months",3.34
"7 months",2.91
"8 months",2.59
"9 months",2.61
"10 months",2.77
"11 months",3.96
"12–14 months",3.24
"15–17 months",3.01
"18–20 months",3.77
"21–23 months",3.37
"24–29 months",3.7
"30–35 months",3.59
