Age,"Standard deviation"
Birth,2.9
"0–1 month",2.46
"1 month",2.53
"2 months",2.5
"3 months",2.52
"4 months",2.58
"5 months",3.36
"6 months",2.45
"7 months",3.74
"8 months",3.03
"9 months",2.93
"10 months",2.72
"11 months",3.2
"12–14 months",4.33
"15–17 months",2.96
"18–20 months",4.05
"21–23 months",3.22
"24–29 months",3.62
"30–35 months",3.74
