Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,79,0.7,70,10696,75,0.9,65,15771,80,0.9,72
"Under 6 years",6871,50,0.5,47,3145,52,0.9,49,3128,49,0.6,46
"6–11 years",3134,70,1.1,66,1446,72,1.4,65,1439,70,1.5,67
"12–19 years",3121,84,1.8,75,1345,80,1.9,72,1470,85,2.3,75
"20–59 years",10940,87,1.1,78,3329,85,1.9,75,6710,87,1.2,79
"60 years and over",5039,68,0.8,62,1431,60,1.7,54,3024,70,0.8,64
