Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,53,0.6,46,10696,51,0.8,43,15771,54,0.8,47
"Under 6 years",6871,34,0.4,32,3145,36,0.6,33,3128,33,0.5,31
"6–11 years",3134,48,0.8,44,1446,48,1.3,44,1439,47,1.2,44
"12–19 years",3121,58,1.4,50,1345,55,1.5,48,1470,58,1.8,50
"20–59 years",10940,59,1,51,3329,58,1.6,48,6710,60,1.2,52
"60 years and over",5039,44,0.6,40,1431,39,1.5,36,3024,45,0.7,41
