| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th   |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ------ |
| 8–11  | 13.82 | 15.52 | 16.96 | 19.44 | 23.45 | 27.09 | 29.37 | 31.05 | 34.43  |
| 12–15 | 20.24 | 23.74 | 25.8  | 29.35 | 39.62 | 51.61 | 57.73 | 61.31 | 67.92  |
| 16–19 | 39.86 | 44.83 | 47.8  | 51.91 | 59.96 | 69.51 | 75.63 | 78.99 | 85.41  |
| 20–29 | 42.05 | 45.83 | 48.31 | 52.93 | 60.54 | 70.84 | 76.54 | 81.08 | 87.82  |
| 30–39 | 39.57 | 43.51 | 47.25 | 51.71 | 61.16 | 70.47 | 76.79 | 80.34 | 88.66  |
| 40–49 | 39.87 | 43.69 | 46.49 | 51.69 | 61.45 | 73.36 | 79.26 | 85.15 | 91.93  |
| 50–59 | 37.72 | 42.28 | 45.66 | 51.1  | 60.92 | 72.3  | 80.25 | 83.54 | 89.99  |
| 60–69 | 38.34 | 43.23 | 46.47 | 51.68 | 62.44 | 74.67 | 82.18 | 86.82 | 95.77  |
| 70–79 | 37.59 | 42.04 | 44.68 | 50.24 | 60.72 | 76.23 | 84.72 | 90.22 | 98.06  |
| 80+   | 35.4  | 41.46 | 45.01 | 50.88 | 61.61 | 74.37 | 85.71 | 92.39 | 103.02 |
