| Age                | Sample size |
| ------------------ | ----------- |
| 8–11               | 1082        |
| 12–15              | 1780        |
| 16–19              | 1513        |
| 20–39              | 2043        |
| 40–59              | 2049        |
| 60–79              | 1846        |
| 80+                | 594         |
| 20+                | 6532        |
| 20+ (age adjusted) | 6532        |
