Age,Mean
"7-74 years",122.5
"7-11 years",103.2
"12-17 years",112.1
"18-24 years",116.6
"25-34 years",117.7
"35-44 years",123.6
"45-54 years",130.6
"55-64 years",142.1
"65-74 years",151.7
"Age-adjusted value",123.2
