Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.583,0.612,0.633,0.664,0.727,0.793,0.835,0.861,0.889
"12–15 years",0.764,0.799,0.822,0.852,0.909,0.967,1,1.023,1.053
"16–19 years",0.824,0.859,0.88,0.909,0.96,1.017,1.048,1.079,1.118
"20–29 years",0.846,0.876,0.894,0.918,0.969,1.022,1.049,1.074,1.112
"30–39 years",0.847,0.879,0.894,0.919,0.974,1.03,1.057,1.078,1.115
"40–49 years",0.841,0.868,0.892,0.915,0.965,1.025,1.058,1.085,1.126
"50–59 years",0.796,0.826,0.845,0.875,0.931,0.991,1.028,1.052,1.082
"60–69 years",0.746,0.777,0.8,0.83,0.89,0.952,0.987,1.011,1.051
"70–79 years",0.693,0.724,0.748,0.78,0.83,0.894,0.931,0.955,0.985
"80 years and over",0.633,0.664,0.692,0.716,0.774,0.839,0.875,0.897,0.94
