| Age   | Sample size |
| ----- | ----------- |
| 2     | 511         |
| 3     | 564         |
| 4     | 528         |
| 5     | 555         |
| 6     | 273         |
| 7     | 269         |
| 8     | 243         |
| 9     | 274         |
| 10    | 255         |
| 11    | 267         |
| 12    | 233         |
| 13    | 217         |
| 14    | 219         |
| 15    | 195         |
| 16    | 211         |
| 17    | 211         |
| 18    | 186         |
| 19    | 187         |
| 20+   | 8356        |
| 20–29 | 1806        |
| 30–39 | 1786        |
| 40–49 | 1302        |
| 50–59 | 964         |
| 60–69 | 1077        |
| 70–79 | 854         |
| 80+   | 567         |
