Age,"Standard error of the mean"
"7-74 years",0.54
"7-11 years",0.74
"12-17 years",1.07
"18-24 years",1.3
"25-34 years",1.19
"35-44 years",1.44
"45-54 years",1.34
"55-64 years",1.75
"65-74 years",2.24
