| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.58           |
| 7-11 years  | 1.19           |
| 12-17 years | 1.12           |
| 18-24 years | 0.91           |
| 25-34 years | 0.79           |
| 35-44 years | 1.06           |
| 45-54 years | 1.83           |
| 55-64 years | 1.67           |
| 65-74 years | 0.88           |
