| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.43           |
| 7-11 years  | 0.58           |
| 12-17 years | 0.97           |
| 18-24 years | 0.95           |
| 25-34 years | 0.79           |
| 35-44 years | 0.76           |
| 45-54 years | 1.13           |
| 55-64 years | 1.57           |
| 65-74 years | 1.17           |
