Age,"Standard error"
"7-74 years",1.15
"7-11 years",1.75
"12-17 years",0.91
"18-24 years",1.34
"25-34 years",0.99
"35-44 years",1.12
"45-54 years",3.12
"55-64 years",1.73
"65-74 years",2.44
