Age,"Standard error of the mean"
"7-74 years",0.81
"7-11 years",0.82
"12-17 years",1.25
"18-24 years",1.58
"25-34 years",1.46
"35-44 years",1.67
"45-54 years",2.75
"55-64 years",2.52
"65-74 years",2.31
