Age,"Standard error of the mean"
"7-74 years",0.91
"7-11 years",1.18
"12-17 years",0.85
"18-24 years",1.1
"25-34 years",1.08
"35-44 years",0.97
"45-54 years",2.54
"55-64 years",1.94
"65-74 years",1.82
