Age,Median
"All ages",1925
"2–11 months",841
"1–2 years",1272
"3–5 years",1533
"6–11 years",1854
"12–15 years",2110
"16–19 years",2330
"20–29 years",2256
"30–39 years",2194
"40–49 years",2059
"50–59 years",1913
"60–69 years",1717
"70–79 years",1542
"80 years and over",1434
